,Model,TWOUT,TA,Cooling Capacity,Power Input (kW),Fluid Flow rate (l/s),Fluid Pressure Drop (kPa),Evaporator,Price
1,DAIKIN AIR COOLED  SCREW C20,5,25,1952,581,93,41,5,
2,DAIKIN AIR COOLED  SCREW C20,5,30,1900,635,90.5,39,5,
3,DAIKIN AIR COOLED  SCREW C20,5,35,1832,696,87.3,37,5,
4,DAIKIN AIR COOLED  SCREW C20,5,40,1743,764,83,34,5,
5,DAIKIN AIR COOLED  SCREW C20,5,43,1675,809,79.8,31,5,
6,DAIKIN AIR COOLED  SCREW C20,5,46,1503,791,71.6,26,5,
7,DAIKIN AIR COOLED  SCREW C20,7,25,2049,597,97.8,45,5,
8,DAIKIN AIR COOLED  SCREW C20,7,30,1993,654,95.1,43,5,
9,DAIKIN AIR COOLED  SCREW C20,7,35,1922,716,91.7,40,5,
10,DAIKIN AIR COOLED  SCREW C20,7,40,1827,785,87.2,37,5,
11,DAIKIN AIR COOLED  SCREW C20,7,43,1757,831,83.8,34,5,
12,DAIKIN AIR COOLED  SCREW C20,7,46,1532,774,73.1,27,5,
13,DAIKIN AIR COOLED  SCREW C20,9,25,2148,615,102.6,49,5,
14,DAIKIN AIR COOLED  SCREW C20,9,30,2089,673,99.8,47,5,
15,DAIKIN AIR COOLED  SCREW C20,9,35,2013,736,96.1,44,5,
16,DAIKIN AIR COOLED  SCREW C20,9,40,1913,807,91.4,40,5,
17,DAIKIN AIR COOLED  SCREW C20,9,43,1820,844,86.9,37,5,
18,DAIKIN AIR COOLED  SCREW C20,9,46,1543,744,73.7,27,5,
19,DAIKIN AIR COOLED  SCREW C20,11,25,2249,633,107.5,54,5,
20,DAIKIN AIR COOLED  SCREW C20,11,30,2185,692,104.5,51,5,
21,DAIKIN AIR COOLED  SCREW C20,11,35,2105,757,100.6,48,5,
22,DAIKIN AIR COOLED  SCREW C20,11,40,2000,830,95.6,43,5,
23,DAIKIN AIR COOLED  SCREW C20,11,43,1841,823,88,37,5,
24,DAIKIN AIR COOLED  SCREW C20,11,46,1572,728,75.2,28,5,
25,DAIKIN AIR COOLED  SCREW C20,13,25,2351,651,112.5,58,5,
26,DAIKIN AIR COOLED  SCREW C20,13,30,2284,712,109.2,55,5,
27,DAIKIN AIR COOLED  SCREW C20,13,35,2198,779,105.1,52,5,
28,DAIKIN AIR COOLED  SCREW C20,13,40,2087,854,99.58,47,5,
29,DAIKIN AIR COOLED  SCREW C20,13,43,1855,798,88.7,38,5,
30,DAIKIN AIR COOLED  SCREW C20,13,46,1564,742,74.8,28,5,
31,DAIKIN AIR COOLED  SCREW C20,15,25,2455,670,117.5,63,5,
32,DAIKIN AIR COOLED  SCREW C20,15,30,2383,733,114.1,60,5,
33,DAIKIN AIR COOLED  SCREW C20,15,35,2292,802,109.7,56,5,
34,DAIKIN AIR COOLED  SCREW C20,15,40,2153,866,103.1,50,5,
35,DAIKIN AIR COOLED  SCREW C20,15,43,1875,776,89.8,39,5,
36,DAIKIN AIR COOLED  SCREW C20,15,46,1583,718,75.8,29,5,
37,Vertiv 1MW,10,53,1015,549.95,26.7,,9.11," $545,436.00 "
38,Vertiv 1MW,10,52,1015,527.98,26.7,,9.11," $545,436.00 "
39,Vertiv 1MW,10,51,1015,506.32,26.7,,9.11," $545,436.00 "
40,Vertiv 1MW,10,50,1015,490.17,26.7,,9.11," $545,436.00 "
41,Vertiv 1MW,10,49,1015,473.6,26.7,,9.11," $545,436.00 "
42,Vertiv 1MW,10,48,1015,458.28,26.7,,9.11," $545,436.00 "
43,Vertiv 1MW,10,47,1015,443.99,26.7,,9.11," $545,436.00 "
44,Vertiv 1MW,10,46,1015,420.23,26.7,,9.11," $545,436.00 "
45,Vertiv 1MW,10,45,1015,407.06,26.7,,9.11," $545,436.00 "
46,Vertiv 1MW,10,44,1015,394.79,26.7,,9.11," $545,436.00 "
47,Vertiv 1MW,10,43,1015,383.27,26.7,,9.11," $545,436.00 "
48,Vertiv 1MW,10,42,1015,365.42,26.7,,9.11," $545,436.00 "
49,Vertiv 1MW,10,41,1015,354.79,26.7,,9.11," $545,436.00 "
50,Vertiv 1MW,10,40,1015,344.87,26.7,,9.11," $545,436.00 "
51,Vertiv 1MW,10,39,1015,335.52,26.7,,9.11," $545,436.00 "
52,Vertiv 1MW,10,38,1015,326.75,26.7,,9.11," $545,436.00 "
53,Vertiv 1MW,10,37,1015,318.47,26.7,,9.11," $545,436.00 "
54,Vertiv 1MW,10,36,1015,316.22,26.7,,9.11," $545,436.00 "
55,Vertiv 1MW,10,35,1015,306.95,26.7,,9.11," $545,436.00 "
56,Vertiv 1MW,10,34,1015,298.23,26.7,,9.11," $545,436.00 "
57,Vertiv 1MW,10,33,1015,290.04,26.7,,9.11," $545,436.00 "
58,Vertiv 1MW,10,32,1015,282.3,26.7,,9.11," $545,436.00 "
59,Vertiv 1MW,10,31,1015,270.66,26.7,,9.11," $545,436.00 "
60,Vertiv 1MW,10,30,1015,258.86,26.7,,9.11," $545,436.00 "
61,Vertiv 1MW,10,29,1015,250.8,26.7,,9.11," $545,436.00 "
62,Vertiv 1MW,10,28,1015,244.86,26.7,,9.11," $545,436.00 "
63,Vertiv 1MW,10,27,1015,238.21,26.7,,9.11," $545,436.00 "
64,Vertiv 1MW,10,26,1015,231.86,26.7,,9.11," $545,436.00 "
65,Vertiv 1MW,10,25,1015,225.62,26.7,,9.11," $545,436.00 "
66,Vertiv 1MW,10,24,1015,220.3,26.7,,9.11," $545,436.00 "
67,Vertiv 1MW,10,23,1015,215.23,26.7,,9.11," $545,436.00 "
68,Vertiv 1MW,10,22,1015,210.45,26.7,,9.11," $545,436.00 "
69,Vertiv 1MW,10,21,1015,205.93,26.7,,9.11," $545,436.00 "
70,Vertiv 1MW,10,20,1015,214.1,26.7,,9.11," $545,436.00 "
71,Vertiv 1MW,10,19,1015,209.28,26.7,,9.11," $545,436.00 "
72,Vertiv 1MW,10,18,1015,204.74,26.7,,9.11," $545,436.00 "
73,Vertiv 1MW,10,17,1015,212.29,26.7,,9.11," $545,436.00 "
74,Vertiv 1MW,10,16,1015,194.45,26.7,,9.11," $545,436.00 "
75,Vertiv 1MW,10,15,1015,180,26.7,,9.11," $545,436.00 "
76,Vertiv 1MW,10,14,1015,161.42,26.7,,9.11," $545,436.00 "
77,Vertiv 1MW,10,13,1015,150.96,26.7,,9.11," $545,436.00 "
78,Vertiv 1MW,10,12,1015,130.61,26.7,,9.11," $545,436.00 "
79,Vertiv 1MW,10,11,1015,123.1,26.7,,9.11," $545,436.00 "
80,Vertiv 1MW,10,10,1015,130.94,26.7,,9.11," $545,436.00 "
81,Vertiv 1MW,10,9,1015,112.71,26.7,,9.11," $545,436.00 "
82,Vertiv 1MW,10,8,1015,100.13,26.7,,9.11," $545,436.00 "
83,Vertiv 1MW,10,7,1015,91.84,26.7,,9.11," $545,436.00 "
84,Vertiv 1MW,10,6,1015,85.96,26.7,,9.11," $545,436.00 "
85,Vertiv 1MW,10,5,1015,81.52,26.7,,9.11," $545,436.00 "
86,Vertiv 1MW,10,4,1015,78.03,26.7,,9.11," $545,436.00 "
87,Vertiv 1MW,10,3,1015,62.11,26.7,,9.11," $545,436.00 "
88,Vertiv 1MW,10,2,1015,44.96,26.7,,9.11," $545,436.00 "
89,Vertiv 1MW,10,1,1015,35.63,26.7,,9.11," $545,436.00 "
90,Vertiv 1MW,10,0,1015,30.08,26.7,,9.11," $545,436.00 "
91,Vertiv 1MW,10,-1,1015,26.48,26.7,,9.11," $545,436.00 "
92,Vertiv 1MW,10,-2,1015,24.08,26.7,,9.11," $545,436.00 "
93,Vertiv 1MW,10,-3,1015,22.45,26.7,,9.11," $545,436.00 "
94,Vertiv 1MW,10,-4,1015,21.28,26.7,,9.11," $545,436.00 "
95,Vertiv 1MW,10,-5,1015,20.43,26.7,,9.11," $545,436.00 "
96,Vertiv 1MW,10,-6,1015,19.79,26.7,,9.11," $545,436.00 "
97,Vertiv 1MW,10,-7,1015,19.28,26.7,,9.11," $545,436.00 "
98,Vertiv 1MW,10,-8,1015,18.89,26.7,,9.11," $545,436.00 "
99,Vertiv 1MW,10,-9,1015,18.58,26.7,,9.11," $545,436.00 "
100,Vertiv 1MW,10,-10,1015,18.4,26.7,,9.11," $545,436.00 "
101,Vertiv 1MW,10,-11,1015,18.34,26.7,,9.11," $545,436.00 "
102,Vertiv 1MW,10,-12,1015,18.29,26.7,,9.11," $545,436.00 "
103,Vertiv 1MW,10,-13,1015,18.24,26.7,,9.11," $545,436.00 "
104,Vertiv 1MW,10,-14,1015,18.19,26.7,,9.11," $545,436.00 "
105,Vertiv 1MW,10,-15,1015,18.15,26.7,,9.11," $545,436.00 "
106,Vertiv 1MW,10,-16,1015,18.11,26.7,,9.11," $545,436.00 "
107,Vertiv 1MW,10,-17,1015,18.07,26.7,,9.11," $545,436.00 "
108,Vertiv 1MW,10,-18,1015,18.04,26.7,,9.11," $545,436.00 "
109,Vertiv 1MW,10,-19,1015,18,26.7,,9.11," $545,436.00 "
110,Vertiv 1MW,10,-20,1015,17.97,26.7,,9.11," $545,436.00 "
111,Vertiv 1MW,10,-21,1015,17.94,26.7,,9.11," $545,436.00 "
112,Vertiv 1MW,10,-22,1015,17.93,26.7,,9.11," $545,436.00 "
113,Vertiv 1MW,10,-23,1015,17.9,26.7,,9.11," $545,436.00 "
114,Vertiv 1MW,10,-24,1015,17.87,26.7,,9.11," $545,436.00 "
115,Vertiv 1MW,10,-25,1015,17.85,26.7,,9.11," $545,436.00 "
116,Vertiv 1MW,10,-26,1015,17.82,26.7,,9.11," $545,436.00 "
117,Vertiv 1MW,10,-27,1015,17.8,26.7,,9.11," $545,436.00 "
118,Vertiv 1MW,10,-28,1015,17.78,26.7,,9.11," $545,436.00 "
119,Vertiv 1MW,10,-29,1015,17.76,26.7,,9.11," $545,436.00 "
120,Vertiv 1MW,10,-30,1015,17.74,26.7,,9.11," $545,436.00 "
121,Vertiv 1MW,10,-31,1015,17.72,26.7,,9.11," $545,436.00 "
122,Vertiv 1MW,10,-32,1015,17.7,26.7,,9.11," $545,436.00 "
123,Vertiv 1MW,10,-33,1015,17.68,26.7,,9.11," $545,436.00 "
124,Vertiv 1MW,10,-34,1015,17.67,26.7,,9.11," $545,436.00 "
125,Vertiv 1MW,10,-35,1015,17.65,26.7,,9.11," $545,436.00 "
126,Vertiv 1MW,10,-36,1015,17.63,26.7,,9.11," $545,436.00 "
127,Vertiv 1MW,10,-37,1015,17.62,26.7,,9.11," $545,436.00 "
128,Vertiv 1MW,10,-38,1015,17.6,26.7,,9.11," $545,436.00 "
129,Vertiv 1MW,10,-39,1015,17.59,26.7,,9.11," $545,436.00 "
130,Vertiv 1MW,10,-40,1015,17.58,26.7,,9.11," $545,436.00 "
131,Vertiv 1MW,15,53,1114,458.11,26.7,,10," $457,941.70 "
132,Vertiv 1MW,15,52,1114,439.52,26.7,,10," $457,941.70 "
133,Vertiv 1MW,15,51,1114,422.59,26.7,,10," $457,941.70 "
134,Vertiv 1MW,15,50,1114,407.03,26.7,,10," $457,941.70 "
135,Vertiv 1MW,15,49,1114,392.62,26.7,,10," $457,941.70 "
136,Vertiv 1MW,15,48,1114,379.25,26.7,,10," $457,941.70 "
137,Vertiv 1MW,15,47,1114,366.75,26.7,,10," $457,941.70 "
138,Vertiv 1MW,15,46,1114,355.07,26.7,,10," $457,941.70 "
139,Vertiv 1MW,15,45,1114,344.07,26.7,,10," $457,941.70 "
140,Vertiv 1MW,15,44,1114,333.72,26.7,,10," $457,941.70 "
141,Vertiv 1MW,15,43,1114,323.93,26.7,,10," $457,941.70 "
142,Vertiv 1MW,15,42,1114,314.69,26.7,,10," $457,941.70 "
143,Vertiv 1MW,15,41,1114,305.9,26.7,,10," $457,941.70 "
144,Vertiv 1MW,15,40,1114,296.41,26.7,,10," $457,941.70 "
145,Vertiv 1MW,15,39,1114,287.34,26.7,,10," $457,941.70 "
146,Vertiv 1MW,15,38,1114,278.79,26.7,,10," $457,941.70 "
147,Vertiv 1MW,15,37,1114,270.66,26.7,,10," $457,941.70 "
148,Vertiv 1MW,15,36,1114,262.99,26.7,,10," $457,941.70 "
149,Vertiv 1MW,15,35,1114,255.68,26.7,,10," $457,941.70 "
150,Vertiv 1MW,15,34,1114,248.72,26.7,,10," $457,941.70 "
151,Vertiv 1MW,15,33,1114,242.12,26.7,,10," $457,941.70 "
152,Vertiv 1MW,15,32,1114,235.81,26.7,,10," $457,941.70 "
153,Vertiv 1MW,15,31,1114,228.88,26.7,,10," $457,941.70 "
154,Vertiv 1MW,15,30,1114,218.13,26.7,,10," $457,941.70 "
155,Vertiv 1MW,15,29,1114,211.14,26.7,,10," $457,941.70 "
156,Vertiv 1MW,15,28,1114,204.86,26.7,,10," $457,941.70 "
157,Vertiv 1MW,15,27,1114,197.97,26.7,,10," $457,941.70 "
158,Vertiv 1MW,15,26,1114,188.4,26.7,,10," $457,941.70 "
159,Vertiv 1MW,15,25,1114,181.87,26.7,,10," $457,941.70 "
160,Vertiv 1MW,15,24,1114,175.67,26.7,,10," $457,941.70 "
161,Vertiv 1MW,15,23,1114,164.65,26.7,,10," $457,941.70 "
162,Vertiv 1MW,15,22,1114,151.12,26.7,,10," $457,941.70 "
163,Vertiv 1MW,15,21,1114,184.07,26.7,,10," $457,941.70 "
164,Vertiv 1MW,15,20,1114,162.98,26.7,,10," $457,941.70 "
165,Vertiv 1MW,15,19,1114,145.43,26.7,,10," $457,941.70 "
166,Vertiv 1MW,15,18,1114,130.13,26.7,,10," $457,941.70 "
167,Vertiv 1MW,15,17,1114,117.14,26.7,,10," $457,941.70 "
168,Vertiv 1MW,15,16,1114,103.37,26.7,,10," $457,941.70 "
169,Vertiv 1MW,15,15,1114,91.74,26.7,,10," $457,941.70 "
170,Vertiv 1MW,15,14,1114,84.18,26.7,,10," $457,941.70 "
171,Vertiv 1MW,15,13,1114,78.99,26.7,,10," $457,941.70 "
172,Vertiv 1MW,15,12,1114,75.26,26.7,,10," $457,941.70 "
173,Vertiv 1MW,15,11,1114,72.45,26.7,,10," $457,941.70 "
174,Vertiv 1MW,15,10,1114,70.25,26.7,,10," $457,941.70 "
175,Vertiv 1MW,15,9,1114,65.87,26.7,,10," $457,941.70 "
176,Vertiv 1MW,15,8,1114,47.29,26.7,,10," $457,941.70 "
177,Vertiv 1MW,15,7,1114,37.25,26.7,,10," $457,941.70 "
178,Vertiv 1MW,15,6,1114,31.21,26.7,,10," $457,941.70 "
179,Vertiv 1MW,15,5,1114,27.31,26.7,,10," $457,941.70 "
180,Vertiv 1MW,15,4,1114,24.69,26.7,,10," $457,941.70 "
181,Vertiv 1MW,15,3,1114,22.85,26.7,,10," $457,941.70 "
182,Vertiv 1MW,15,2,1114,21.55,26.7,,10," $457,941.70 "
183,Vertiv 1MW,15,1,1114,20.57,26.7,,10," $457,941.70 "
184,Vertiv 1MW,15,0,1114,19.85,26.7,,10," $457,941.70 "
185,Vertiv 1MW,15,-1,1114,19.29,26.7,,10," $457,941.70 "
186,Vertiv 1MW,15,-2,1114,18.85,26.7,,10," $457,941.70 "
187,Vertiv 1MW,15,-3,1114,18.49,26.7,,10," $457,941.70 "
188,Vertiv 1MW,15,-4,1114,18.19,26.7,,10," $457,941.70 "
189,Vertiv 1MW,15,-5,1114,17.95,26.7,,10," $457,941.70 "
190,Vertiv 1MW,15,-6,1114,17.85,26.7,,10," $457,941.70 "
191,Vertiv 1MW,15,-7,1114,17.81,26.7,,10," $457,941.70 "
192,Vertiv 1MW,15,-8,1114,17.76,26.7,,10," $457,941.70 "
193,Vertiv 1MW,15,-9,1114,17.72,26.7,,10," $457,941.70 "
194,Vertiv 1MW,15,-10,1114,17.68,26.7,,10," $457,941.70 "
195,Vertiv 1MW,15,-11,1114,17.64,26.7,,10," $457,941.70 "
196,Vertiv 1MW,15,-12,1114,17.61,26.7,,10," $457,941.70 "
197,Vertiv 1MW,15,-13,1114,17.57,26.7,,10," $457,941.70 "
198,Vertiv 1MW,15,-14,1114,17.54,26.7,,10," $457,941.70 "
199,Vertiv 1MW,15,-15,1114,17.51,26.7,,10," $457,941.70 "
200,Vertiv 1MW,15,-16,1114,17.48,26.7,,10," $457,941.70 "
201,Vertiv 1MW,15,-17,1114,17.45,26.7,,10," $457,941.70 "
202,Vertiv 1MW,15,-18,1114,17.43,26.7,,10," $457,941.70 "
203,Vertiv 1MW,15,-19,1114,17.4,26.7,,10," $457,941.70 "
204,Vertiv 1MW,15,-20,1114,17.38,26.7,,10," $457,941.70 "
205,Vertiv 1MW,15,-21,1114,17.36,26.7,,10," $457,941.70 "
206,Vertiv 1MW,15,-22,1114,17.35,26.7,,10," $457,941.70 "
207,Vertiv 1MW,15,-23,1114,17.33,26.7,,10," $457,941.70 "
208,Vertiv 1MW,15,-24,1114,17.31,26.7,,10," $457,941.70 "
209,Vertiv 1MW,15,-25,1114,17.29,26.7,,10," $457,941.70 "
210,Vertiv 1MW,15,-26,1114,17.27,26.7,,10," $457,941.70 "
211,Vertiv 1MW,15,-27,1114,17.25,26.7,,10," $457,941.70 "
212,Vertiv 1MW,15,-28,1114,17.23,26.7,,10," $457,941.70 "
213,Vertiv 1MW,15,-29,1114,17.22,26.7,,10," $457,941.70 "
214,Vertiv 1MW,15,-30,1114,17.2,26.7,,10," $457,941.70 "
215,Vertiv 1MW,15,-31,1114,17.19,26.7,,10," $457,941.70 "
216,Vertiv 1MW,15,-32,1114,17.17,26.7,,10," $457,941.70 "
217,Vertiv 1MW,15,-33,1114,17.16,26.7,,10," $457,941.70 "
218,Vertiv 1MW,15,-34,1114,17.14,26.7,,10," $457,941.70 "
219,Vertiv 1MW,15,-35,1114,17.13,26.7,,10," $457,941.70 "
220,Vertiv 1MW,15,-36,1114,17.12,26.7,,10," $457,941.70 "
221,Vertiv 1MW,15,-37,1114,17.1,26.7,,10," $457,941.70 "
222,Vertiv 1MW,15,-38,1114,17.09,26.7,,10," $457,941.70 "
223,Vertiv 1MW,15,-39,1114,17.08,26.7,,10," $457,941.70 "
224,Vertiv 1MW,15,-40,1114,17.07,26.7,,10," $457,941.70 "
225,Vertiv 1MW,20,53,1114,391.64,26.7,,10," $428,930.26 "
226,Vertiv 1MW,20,52,1114,377.89,26.7,,10," $428,930.26 "
227,Vertiv 1MW,20,51,1114,365.15,26.7,,10," $428,930.26 "
228,Vertiv 1MW,20,50,1114,353.27,26.7,,10," $428,930.26 "
229,Vertiv 1MW,20,49,1114,342.7,26.7,,10," $428,930.26 "
230,Vertiv 1MW,20,48,1114,331.57,26.7,,10," $428,930.26 "
231,Vertiv 1MW,20,47,1114,323.42,26.7,,10," $428,930.26 "
232,Vertiv 1MW,20,46,1114,312.32,26.7,,10," $428,930.26 "
233,Vertiv 1MW,20,45,1114,301.88,26.7,,10," $428,930.26 "
234,Vertiv 1MW,20,44,1114,292.09,26.7,,10," $428,930.26 "
235,Vertiv 1MW,20,43,1114,282.86,26.7,,10," $428,930.26 "
236,Vertiv 1MW,20,42,1114,274.18,26.7,,10," $428,930.26 "
237,Vertiv 1MW,20,41,1114,265.93,26.7,,10," $428,930.26 "
238,Vertiv 1MW,20,40,1114,258.13,26.7,,10," $428,930.26 "
239,Vertiv 1MW,20,39,1114,252.14,26.7,,10," $428,930.26 "
240,Vertiv 1MW,20,38,1114,243.66,26.7,,10," $428,930.26 "
241,Vertiv 1MW,20,37,1114,235.13,26.7,,10," $428,930.26 "
242,Vertiv 1MW,20,36,1114,227.34,26.7,,10," $428,930.26 "
243,Vertiv 1MW,20,35,1114,219.94,26.7,,10," $428,930.26 "
244,Vertiv 1MW,20,34,1114,212.91,26.7,,10," $428,930.26 "
245,Vertiv 1MW,20,33,1114,206.25,26.7,,10," $428,930.26 "
246,Vertiv 1MW,20,32,1114,199.9,26.7,,10," $428,930.26 "
247,Vertiv 1MW,20,31,1114,193.85,26.7,,10," $428,930.26 "
248,Vertiv 1MW,20,30,1114,188.11,26.7,,10," $428,930.26 "
249,Vertiv 1MW,20,29,1114,180.94,26.7,,10," $428,930.26 "
250,Vertiv 1MW,20,28,1114,155.35,26.7,,10," $428,930.26 "
251,Vertiv 1MW,20,27,1114,143.04,26.7,,10," $428,930.26 "
252,Vertiv 1MW,20,26,1114,135.97,26.7,,10," $428,930.26 "
253,Vertiv 1MW,20,25,1114,162.41,26.7,,10," $428,930.26 "
254,Vertiv 1MW,20,24,1114,143.93,26.7,,10," $428,930.26 "
255,Vertiv 1MW,20,23,1114,127.76,26.7,,10," $428,930.26 "
256,Vertiv 1MW,20,22,1114,114.22,26.7,,10," $428,930.26 "
257,Vertiv 1MW,20,21,1114,102.82,26.7,,10," $428,930.26 "
258,Vertiv 1MW,20,20,1114,90.61,26.7,,10," $428,930.26 "
259,Vertiv 1MW,20,19,1114,81.51,26.7,,10," $428,930.26 "
260,Vertiv 1MW,20,18,1114,74.97,26.7,,10," $428,930.26 "
261,Vertiv 1MW,20,17,1114,70.13,26.7,,10," $428,930.26 "
262,Vertiv 1MW,20,16,1114,66.37,26.7,,10," $428,930.26 "
263,Vertiv 1MW,20,15,1114,63.16,26.7,,10," $428,930.26 "
264,Vertiv 1MW,20,14,1114,57.88,26.7,,10," $428,930.26 "
265,Vertiv 1MW,20,13,1114,51.27,26.7,,10," $428,930.26 "
266,Vertiv 1MW,20,12,1114,39.28,26.7,,10," $428,930.26 "
267,Vertiv 1MW,20,11,1114,32.08,26.7,,10," $428,930.26 "
268,Vertiv 1MW,20,10,1114,27.44,26.7,,10," $428,930.26 "
269,Vertiv 1MW,20,9,1114,24.27,26.7,,10," $428,930.26 "
270,Vertiv 1MW,20,8,1114,22.04,26.7,,10," $428,930.26 "
271,Vertiv 1MW,20,7,1114,20.42,26.7,,10," $428,930.26 "
272,Vertiv 1MW,20,6,1114,19.23,26.7,,10," $428,930.26 "
273,Vertiv 1MW,20,5,1114,18.33,26.7,,10," $428,930.26 "
274,Vertiv 1MW,20,4,1114,17.63,26.7,,10," $428,930.26 "
275,Vertiv 1MW,20,3,1114,17.09,26.7,,10," $428,930.26 "
276,Vertiv 1MW,20,2,1114,16.66,26.7,,10," $428,930.26 "
277,Vertiv 1MW,20,1,1114,16.3,26.7,,10," $428,930.26 "
278,Vertiv 1MW,20,0,1114,16.01,26.7,,10," $428,930.26 "
279,Vertiv 1MW,20,-1,1114,15.78,26.7,,10," $428,930.26 "
280,Vertiv 1MW,20,-2,1114,15.56,26.7,,10," $428,930.26 "
281,Vertiv 1MW,20,-3,1114,15.41,26.7,,10," $428,930.26 "
282,Vertiv 1MW,20,-4,1114,15.37,26.7,,10," $428,930.26 "
283,Vertiv 1MW,20,-5,1114,15.33,26.7,,10," $428,930.26 "
284,Vertiv 1MW,20,-6,1114,15.29,26.7,,10," $428,930.26 "
285,Vertiv 1MW,20,-7,1114,15.26,26.7,,10," $428,930.26 "
286,Vertiv 1MW,20,-8,1114,15.22,26.7,,10," $428,930.26 "
